Lag,Window,Total Trades,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,Efficiency Ratio
10,4,26920,38.71471025,32063.4,1.191062407,19.12,7.903682031,3.590613126,-0.454296252,-0.166952452,-45.67,0.215481426,50.56,37421.37,-5357.97,-7.909782772,0.759529381,2.228058089,1.111678694,1.191062407,7.134141457
12,4,26722,38.59741037,31790.27,1.189666567,18.21,7.896328461,3.602057398,-0.456168638,-0.167143552,-45.67,0.23020021,50.46,37151.62,-5361.35,-6.52525212,0.756330982,2.222647252,1.110201519,1.189666567,7.117633625
11,4,26979,38.64487194,31945.63,1.184092442,18.21,7.881171442,3.580989833,-0.454372787,-0.16615627,-45.67,0.224016087,50.56,37335.4,-5389.77,-6.897935926,0.757427229,2.239918551,1.10508793,1.184092442,7.126378345
5,4,26826,38.07500186,31145.45,1.161017297,26.13,7.849787414,3.577130409,-0.455697743,-0.150774249,-45.67,0.172758518,42.66,36536.81,-5391.36,-6.002146402,0.743900267,2.150032088,1.079801651,1.161017297,7.700368633
9,4,26915,38.06056103,31360.63,1.165172952,20.29,7.835272689,3.593774893,-0.458666218,-0.164546535,-45.67,0.232244102,61.34,36814.63,-5454,-7.352093608,0.74330626,2.126886478,1.083715604,1.165172952,7.081115073
6,4,26735,38.21208154,30944,1.157434075,24.5,7.82708162,3.554231597,-0.454094102,-0.158522162,-45.67,0.193019637,50.56,36310.03,-5366.03,-6.343483318,0.746698543,2.15019331,1.077570583,1.157434075,7.301402283
1,2,27487,39.03299742,32759.29,1.19181031,24.5,7.805305337,3.560380278,-0.456148751,-0.11369702,-22.13,0.053323025,57.43,38199.32,-5440.03,-4.759570057,0.76786174,2.227308784,1.111622921,1.19181031,10.48233547
2,3,27522,39.08509556,32547.57,1.182601918,24.5,7.805009797,3.527443525,-0.451946073,-0.125904367,-22.13,0.066267713,50.56,37944.71,-5397.14,-6.370493209,0.769047568,2.270538341,1.103402154,1.182601918,9.392858586
8,4,26915,37.85621401,30690.64,1.140280141,21.14,7.76417275,3.550214938,-0.457256047,-0.165112762,-57.08,0.218605982,50.56,36173.14,-5482.5,-6.729672208,0.737339345,2.102789693,1.059820745,1.140280141,6.906069068
12,3,27690,40.06861683,33299.2,1.202571325,24.5,7.74472669,3.483407841,-0.449778021,-0.153769953,-57,0.215020585,50.46,38648.41,-5349.21,-6.524631289,0.792826677,2.257518002,1.126195152,1.202571325,7.820587192
7,3,27792,39.4753886,32766.11,1.178976324,21.17,7.716025906,3.484897457,-0.451644085,-0.159312392,-57,0.21798899,50.46,38232.81,-5466.7,-6.423607955,0.777367519,2.202357387,1.102320986,1.178976324,7.400405636
4,3,28394,39.51539058,32823.63,1.156005846,21.17,7.689316872,3.412208556,-0.443759649,-0.156316475,-41.99,0.174241037,43.21,38284.98,-5461.35,-7.798424475,0.778861879,2.217587331,1.079941248,1.156005846,7.395291149
10,3,27972,40.17231517,33296.45,1.190349278,21.47,7.674597514,3.442109104,-0.448506791,-0.153935364,-57.08,0.206135064,50.56,38678.98,-5382.53,-7.098175962,0.795262131,2.241415087,1.114443688,1.190349278,7.732786329
11,3,28038,40.1740495,33396.85,1.191128112,18.21,7.664661836,3.4445712,-0.449409416,-0.152773736,-57.08,0.206015408,50.56,38799.65,-5402.8,-7.263710254,0.795368129,2.280262577,1.114960284,1.191128112,7.796681195
3,3,28790,39.98263286,33979.13,1.180240709,24.5,7.660642645,3.431226653,-0.447903239,-0.1396471,-22.16,0.1259347,50.46,39496.85,-5517.72,-6.220842556,0.791225452,2.240384955,1.103075024,1.180240709,8.45159485
9,3,28065,39.39070016,32626.29,1.162525922,20.29,7.637204624,3.447944821,-0.451466864,-0.154404062,-57.08,0.228297524,61.34,38117.03,-5490.74,-7.464364182,0.775928232,2.187418254,1.084538701,1.162525922,7.529114888
5,3,28069,39.8304179,32827.28,1.169520824,18.25,7.592961926,3.423600179,-0.450891261,-0.159545762,-41.99,0.209254338,50.56,38275.85,-5448.57,-6.286641338,0.78683844,2.199409658,1.092334871,1.169520824,7.330315813
6,3,27984,39.60477416,32528.51,1.162396727,21.17,7.592150148,3.428361454,-0.451566603,-0.163547742,-41.99,0.207116924,50.56,37996.53,-5468.02,-6.467841109,0.780972008,2.166575695,1.085070141,1.162396727,7.107384765
12,2,28781,41.69417324,34449.04,1.196936868,18.21,7.540115628,3.3115975,-0.439197177,-0.135157917,-22.16,0.163195511,59.39,39739.17,-5290.13,-6.188297551,0.833405329,2.347602419,1.124665653,1.196936868,8.855839876
8,3,27989,39.35117368,31990.29,1.142959377,25.34,7.539479832,3.405975123,-0.451752004,-0.162215513,-57.08,0.217963486,43.21,37513.41,-5523.12,-6.588885817,0.773779996,2.130149576,1.066308898,1.142959377,7.045931391
10,2,28949,41.90818336,34656.99,1.197173996,15.79,7.490216472,3.292375536,-0.439556794,-0.144248506,-23.98,0.161531314,50.56,39943.1,-5286.11,-5.864650189,0.839292015,2.345887793,1.12442825,1.197173996,8.299385754
11,2,29075,41.73688736,34533.58,1.187741359,18.21,7.459257403,3.286357643,-0.440574372,-0.141394669,-25.88,0.176904213,50.56,39879.95,-5346.37,-6.275373328,0.834737747,2.311982308,1.114931045,1.187741359,8.400184868
7,2,28944,41.45591487,34254.74,1.183483278,17.25,7.403580938,3.30935578,-0.446993935,-0.15411657,-57.08,0.185409411,55.24,39708.96,-5454.22,-6.818168716,0.826927791,2.216894408,1.110235205,1.183483278,7.679143642
4,2,29500,41.46440678,34459.05,1.16810339,25.61,7.383154698,3.265779922,-0.442328524,-0.155700339,-57,0.205397966,43.21,39947.02,-5487.97,-7.14066694,0.82742943,2.253578545,1.095216646,1.16810339,7.502253351
8,2,29089,41.32833717,33788.69,1.161562446,17.25,7.380526496,3.263016969,-0.44211168,-0.14707037,-57.08,0.185214686,49.69,39227.99,-5439.3,-6.43346116,0.823538777,2.253771782,1.089156381,1.161562446,7.898004502
2,2,30495,41.99049024,36421,1.194326939,24.5,7.370205922,3.281122999,-0.445187425,-0.132935563,-23.98,0.111349729,50.56,42014.78,-5593.78,-6.287530397,0.842280727,2.299338935,1.11950859,1.194326939,8.984254552
9,2,29184,41.48848684,34104.57,1.168605058,13.04,7.35412196,3.265289065,-0.444008011,-0.147519189,-57,0.186081414,61.34,39536.12,-5431.55,-6.835569488,0.828421582,2.2454949,1.094923218,1.168605058,7.9217156
3,2,29760,42.12365591,35371.36,1.188553763,24.5,7.337844245,3.257389917,-0.44391647,-0.141261425,-23.98,0.146821573,50.46,40834.64,-5463.28,-6.363569817,0.844901355,2.28338349,1.115209097,1.188553763,8.41385938
6,2,29123,41.66122996,34179.67,1.173631494,17.25,7.310465913,3.265459491,-0.446682815,-0.160093397,-57.08,0.205236411,57.43,39619.82,-5440.15,-5.968621586,0.832724,2.188535694,1.099841327,1.173631494,7.330917553
