Lag,Window,Total Trades,Total Units,Win Rate (%),Total PnL,Average PnL,Max Drawdown,Risk-Reward,Avg Win,Avg Loss,Average MAE,Max MAE,Average MFE,Max MFE,Winning PnL,Losing PnL,Avg Trade Efficiency (%),Sharpe-like Ratio,Sortino Ratio,Expectancy,Normalized PnL,PnL per Unit,Efficiency Ratio
2,8,23109,29973,12.432385650612316,-5217.649999999994,-0.2257843264528969,5217.64999999998,2.4129320937223255,1.4913957535677007,-0.6180844282554961,-0.08750266851298712,-48.33000000000038,-0.052580776609400755,72.21500000000015,4284.780000000004,-9502.429999999998,-8.122015457763647,-0.5170763733590197,-0.25118498290375024,-0.35582571682799846,-0.2257843264528969,-0.17407833717011958,-2.5803136097430683
3,1,34236,58090,23.872531837831524,-4229.45000000011,-0.12353808856175108,4229.720000000102,2.015232085785484,1.6455854643337782,-0.816573672055431,-0.21138650835377695,-41.71500000000015,0.08002370311952489,33.39999999999964,13449.36999999997,-17678.82000000008,-13.502265439949603,-0.2980369874407581,-0.095651942847406,-0.22879394832283928,-0.12353808856175108,-0.0728085729041162,-0.5844180384256003
3,2,33910,49793,22.338543202595105,-3657.6400000000576,-0.10786316720731517,3658.5200000000577,1.9884801409769413,1.2748132013201232,-0.6410992873651767,-0.1946335397621142,-41.71500000000015,0.08916799370883763,41.86999999999944,9656.709999999934,-13314.34999999999,-8.969045301363614,-0.34041596635980964,-0.10990142471781425,-0.21311234835629594,-0.10786316720731517,-0.07345691161408346,-0.5541859195447411
3,3,33230,47994,22.079446283478784,-3778.900000000092,-0.1137195305446913,3779.780000000092,1.952406595854339,1.228390350279397,-0.6291672814913201,-0.1794157638679895,-41.71500000000015,0.07865525629451346,41.86999999999944,9012.699999999935,-12791.600000000028,-8.972803444016055,-0.3795565840770717,-0.11619531629308039,-0.21902884199984396,-0.1137195305446913,-0.07873692544901638,-0.6338324353057619
3,4,31012,43184,20.130917064362183,-3417.30000000002,-0.11019282858248484,3417.30000000002,2.1698134088299486,1.3295851353515888,-0.6127647335669084,-0.15577112623070577,-41.71500000000015,0.06112491401178081,50.46000000000004,8300.59999999997,-11717.899999999989,-8.697744570189695,-0.30744891832915416,-0.11432825690600777,-0.22175189235517817,-0.11019282858248484,-0.07913347536124538,-0.7074021434452691
3,5,29194,39351,18.188668904569433,-3339.7500000000114,-0.11439850654244062,3339.750000000012,2.3669006476219674,1.3993973634651566,-0.5912362079376402,-0.15302442282660716,-47.000000000000455,0.05219788312667035,50.46000000000004,7430.799999999982,-10770.549999999992,-8.576507803379902,-0.283108154258586,-0.1365109560874883,-0.2291664585319798,-0.11439850654244062,-0.08487077837920284,-0.7475833231670882
3,6,27679,36432,16.74916001300625,-3240.310000000014,-0.11706745185881044,3240.310000000014,2.5544918609626333,1.4843593615185486,-0.5810781330730815,-0.14151971410334957,-47.000000000000455,0.03674467406096193,72.34000000000015,6881.489999999992,-10121.800000000007,-8.731530111750985,-0.25920488143051906,-0.14026609396013476,-0.2351347021353021,-0.11706745185881044,-0.08894131532718527,-0.827216565554379
3,7,26125,33752,15.739712918660286,-3343.6199999999735,-0.12798545454545354,3343.619999999973,2.6043161525430287,1.4948954280155708,-0.574006894883271,-0.12503301435406486,-47.000000000000455,0.020774832535886537,72.34000000000015,6147.0100000000275,-9490.630000000001,-8.489716470945393,-0.277960795342136,-0.15363662005215475,-0.24836760869149918,-0.12798545454545354,-0.0990643517421182,-1.0236132849123196
3,8,24889,31656,14.801719635180199,-3263.1899999999937,-0.13110972718871766,3263.1899999999937,2.7381905330388636,1.5600570032573324,-0.5697401201391088,-0.10396929031566587,-47.000000000000455,-0.00325491850482671,72.34000000000015,5747.250000000013,-9010.440000000006,-8.289401557629368,-0.2647833828216495,-0.15667665728177657,-0.2544935211358347,-0.13110972718871766,-0.10308282789992398,-1.2610428213047282
4,1,33850,57178,22.106351550960117,-3912.3499999999967,-0.11557902511078277,3912.569999999997,2.318096749274945,1.9463143124415387,-0.8396173770789799,-0.21747628261939675,-42.63000000000011,0.09996330379123773,39.51999999999998,14564.270000000035,-18476.62000000003,-12.03832962831597,-0.2088720433167524,-0.10417628176646464,-0.2237495238239714,-0.11557902511078277,-0.06842404421280907,-0.5314557694231723
4,2,33252,47783,19.460483579935044,-3251.5700000000224,-0.09778569710092694,3252.4200000000233,2.4722832857880683,1.6303059805285094,-0.6594333221845291,-0.22946603713059566,-42.63000000000011,0.13068162316051438,41.89499999999998,10549.709999999985,-13801.28000000001,-10.706593868362408,-0.20143877008076472,-0.10596635885898872,-0.2138389811567391,-0.09778569710092694,-0.06804867840026835,-0.42614453242714223
4,3,32241,43598,19.013057907633137,-2323.9199999999582,-0.07207965013492008,2334.299999999963,2.589273830681443,1.4898825448613426,-0.5754055547184966,-0.20756839117893117,-42.63000000000011,0.10960632424552796,55.24000000000024,9132.98000000003,-11456.899999999987,-10.31641964827322,-0.15764125486341843,-0.08870466152730307,-0.18273113238592587,-0.07207965013492008,-0.05330336253956508,-0.3472573532295913
4,4,31354,42252,19.31173056069401,-2031.9999999999457,-0.06480831791796726,2039.3299999999458,2.5882458902233925,1.4756069364161923,-0.5701185277604487,-0.18591966468924512,-42.63000000000011,0.0828527407454683,55.24000000000024,8934.800000000045,-10966.79999999999,-9.729608280128428,-0.14314554951438732,-0.08035543545612883,-0.1750535381071489,-0.06480831791796726,-0.04809239799299313,-0.34858237307113765
4,5,29634,39032,18.225686711210095,-1954.6999999999414,-0.06596139569413313,1961.969999999942,2.7435754132464663,1.5513293834475184,-0.5654407660738707,-0.18003239522170217,-49.29000000000042,0.07897685091449222,55.24000000000024,8378.730000000047,-10333.429999999988,-8.883956863692672,-0.13381105031895107,-0.08171564280240289,-0.1796448702256888,-0.06596139569413313,-0.05007942201270602,-0.36638625850033546
4,6,28275,36520,17.08576480990274,-1934.5799999999695,-0.06842015915119255,1940.2199999999702,2.910493447682381,1.6201221279238334,-0.5566486085766428,-0.16297096964338106,-49.29000000000042,0.06687270851753818,69.59500000000025,7826.8100000000395,-9761.390000000009,-8.710814021451384,-0.128672990735476,-0.08531200159437463,-0.1847306800873837,-0.06842015915119255,-0.0529731653888272,-0.4198303495457627
